word,up,down,total,polar_score,polarity
하드/NNG,19,13,32,1.3247104265973317,Hawkish
지표/NNG;충격/NNG,22,8,30,2.4925472500449795,Hawkish
각료/NNG,25,11,36,2.059956404995851,Hawkish
소득대체율/NNG,15,4,19,3.398928068243154,Hawkish
달러인덱스/NNG;강세/NNG,14,6,20,2.1148885757957405,Hawkish
영업현금창출능력/NNG,12,7,19,1.5537956883397277,Hawkish
맹인/NNG,32,1,33,29.00418618234158,Hawkish
경기/NNG;하방/NNG;위험/NNG;증대/NNG,19,3,22,5.740411848588438,Hawkish
인플레이션/NNG,15080,10261,25341,1.3320556221058837,Hawkish
유가/NNG;상승/NNG;제한/NNG,12,7,19,1.5537956883397277,Hawkish
명문/NNG,15,7,22,1.9422446104246596,Hawkish
터널/NNG,51,15,66,3.081694781873793,Hawkish
지식재산권/NNG,16,8,24,1.8127616363963488,Hawkish
싸우/VV,69,13,82,4.81079049659031,Hawkish
시나리오분석/NNG,18,8,26,2.0393568409458926,Hawkish
후반전/NNG,27,4,31,6.1180705228376775,Hawkish
파랑/NNG,12,6,18,1.8127616363963488,Hawkish
행시/NNG,20,9,29,2.0141795959959437,Hawkish
사업자금/NNG,15,6,21,2.265952045495436,Hawkish
환경/NNG;개선/NNG,54,36,90,1.3595712272972618,Hawkish
진국/NNG,50,31,81,1.4619045454809265,Hawkish
재벌/NNG,13,9,22,1.309216737397363,Hawkish
원자재/NNG;가격/NNG;급등/NNG,24,8,32,2.719142454594523,Hawkish
경제/NNG;강하/VA;성장/NNG,14,9,23,1.4099257171971604,Hawkish
공개매수/NNG,32,9,41,3.222687353593509,Hawkish
이익/NNG;늘/VV,13,8,21,1.4728688295720334,Hawkish
최대/NNG;늘/VV,13,6,19,1.9638251060960445,Hawkish
경기/NNG;호조/NNG,67,34,101,1.786103377037579,Hawkish
야권/NNG,45,12,57,3.398928068243154,Hawkish
얼얼/NNG,23,15,38,1.389783921237201,Hawkish
인상/NNG;금리/NNG;인상/NNG,34,11,45,2.8015407107943573,Hawkish
메이커/NNG,26,16,42,1.4728688295720334,Hawkish
외화자산/NNG,50,22,72,2.059956404995851,Hawkish
수입/NNG;물가/NNG;상승/NNG,67,36,103,1.6868754116466025,Hawkish
임대료/NNG,264,161,425,1.4862393540640875,Hawkish
가스/NNG;요금/NNG;인상/NNG,33,13,46,2.300812846195366,Hawkish
유형자산/NNG,26,17,43,1.3862294866560314,Hawkish
노동법/NNG,15,6,21,2.265952045495436,Hawkish
음식/NNG,184,111,295,1.5024691040402172,Hawkish
채권/NNG;금리/NNG;하락/NNG;압력/NNG,12,7,19,1.5537956883397277,Hawkish
금리/NNG;인하/NNG;필요/NNG;없/VA,29,13,42,2.0219264405959274,Hawkish
자산계정/NNG,35,10,45,3.1723328636936103,Hawkish
납입일/NNG,12,5,17,2.1753139636756185,Hawkish
우승/NNG,19,6,25,2.870205924294219,Hawkish
디아/NNG,30,4,34,6.797856136486308,Hawkish
요동치/VV,27,17,44,1.4395460053735711,Hawkish
농업인/NNG,23,10,33,2.084675881855801,Hawkish
물가안정목표제/NNG,44,29,73,1.375198482783437,Hawkish
신정/NNG,15,7,22,1.9422446104246596,Hawkish
인상/NNG;경계/NNG,16,9,25,1.6113436767967546,Hawkish
인플레이션/NNG;회복/NNG,22,12,34,1.661698166696653,Hawkish
다뤘/VV,16,8,24,1.8127616363963488,Hawkish
적자전환/NNG,63,35,98,1.631485472756714,Hawkish
줄줄/MAG,54,19,73,2.5760296938263907,Hawkish
근원/NNG;물가/NNG;상승/NNG,35,21,56,1.5106346969969573,Hawkish
물가/NNG;경계/NNG,54,31,85,1.5788569091194007,Hawkish
매입임대주택/NNG,23,15,38,1.389783921237201,Hawkish
돌돌돌/MAG,18,7,25,2.3306935325095917,Hawkish
학년/NNG,15,6,21,2.265952045495436,Hawkish
집값/NNG;상승/NNG,14,7,21,1.812761636396349,Hawkish
탄소집약도/NNG,23,7,30,2.978108402651145,Hawkish
건설/NNG;투자/NNG;부진/NNG,26,8,34,2.9457376591440667,Hawkish
무효/NNG,25,17,42,1.332912967938492,Hawkish
제각각/NNG,12,5,17,2.1753139636756185,Hawkish
부대/NNG,34,18,52,1.7120526565965517,Hawkish
요새/NNG,14,3,17,4.229777151591481,Hawkish
목도/NNG,11,6,17,1.661698166696653,Hawkish
근원/NNG;물가/NNG;안정/NNG,20,13,33,1.3944320279971913,Hawkish
매파/NNG;금리/NNG;인하/NNG,15,6,21,2.265952045495436,Hawkish
행정/NNG,162,96,258,1.5295176307094194,Hawkish
모험자본/NNG,14,6,20,2.1148885757957405,Hawkish
방사능유출사태/NNG,21,1,22,19.033997182161663,Hawkish
이직률/NNG,47,18,65,2.3666610252952336,Hawkish
둔화/NNG;상승/NNG,23,10,33,2.084675881855801,Hawkish
상방/NNG;위험/NNG;높/VA,14,8,22,1.5861664318468052,Hawkish
임금/NNG;상승/NNG;압력/NNG,47,27,74,1.5777740168634888,Hawkish
내수/NNG;회복/NNG,67,44,111,1.3801707913472203,Hawkish
안전진단/NNG,11,7,18,1.424312714311417,Hawkish
레버리징/NNG,16,5,21,2.9004186182341583,Hawkish
기본소득/NNG,36,7,43,4.661387065019183,Hawkish
기원/NNG,15,8,23,1.699464034121577,Hawkish
이코노믹/NNG,39,26,65,1.3595712272972615,Hawkish
확연히/MAG,56,36,92,1.4099257171971604,Hawkish
유가/NNG;안정/NNG,44,14,58,2.848625428622834,Hawkish
둔화/NNG;성장/NNG,17,3,20,5.136157969789655,Hawkish
저축액/NNG,16,10,26,1.4502093091170791,Hawkish
현수/NNG,175,67,242,2.367412584845978,Hawkish
문장/NNG,30,17,47,1.5994955615261899,Hawkish
인건비/NNG,123,81,204,1.3763560572638946,Hawkish
검단/NNG,32,20,52,1.4502093091170791,Hawkish
외환규제/NNG,52,9,61,5.236866949589452,Hawkish
모처럼/MAG,61,41,102,1.3485178026850888,Hawkish
시가배당률/NNG,17,2,19,7.704236954684482,Hawkish
정리해고/NNG,15,5,20,2.719142454594523,Hawkish
미숙/NNG,15,10,25,1.3595712272972615,Hawkish
빈곤/NNG,35,17,52,1.8660781551138885,Hawkish
총회/NNG,112,46,158,2.206840253004251,Hawkish
채권/NNG;재투자/NNG;중단/NNG,14,4,18,3.1723328636936103,Hawkish
유급/NNG,23,14,37,1.4890542013255725,Hawkish
파마/NNG,12,8,20,1.3595712272972615,Hawkish
공상/NNG,39,10,49,3.5348851909728802,Hawkish
경제/NNG;소비/NNG;회복/NNG,68,8,76,7.704236954684482,Hawkish
유가/NNG;불확실성/NNG,16,6,22,2.417015515195132,Hawkish
디스코/NNG,27,13,40,1.8824832377962084,Hawkish
전부/MAG,52,33,85,1.4282364407971233,Hawkish
아까/MAG,17,5,22,3.081694781873793,Hawkish
고변동성/NNG,62,26,88,2.1613696433956466,Hawkish
물가/NNG;상승/NNG;압력/NNG,109,72,181,1.3721598497722365,Hawkish
매수전략/NNG,809,267,1076,2.7462999322933452,Hawkish
차후/NNG,18,11,29,1.4831686115970129,Hawkish
쌓이/VV,69,24,93,2.6058448523197515,Hawkish
외화표시자산/NNG,86,56,142,1.3919419708043395,Hawkish
